x,y,z
-0.175012,-0.0564708,0.0535281
-0.175087,-0.056801,0.0487142
0.986551,0.543645,0.920593
0.95859,0.53005,0.943435
-0.0461685,-0.037609,0.574204
-0.0254063,-0.0242935,0.294124
-0.0268757,-0.0253138,0.264522
-0.0316502,-0.0284941,0.263495
-0.0345966,-0.0305014,0.252551
-0.0332732,-0.0297214,0.223131
-0.0349036,-0.0308801,0.212273
-0.0385048,-0.0333486,0.211008
-0.0420693,-0.0358096,0.209628
-0.0455946,-0.0382615,0.208136
-0.0490783,-0.0407023,0.206532
-0.0496117,-0.041183,0.196524
-0.0593368,-0.0478462,0.212099
-0.0592571,-0.0479404,0.201056
-0.0663591,-0.0528968,0.207895
-0.0621983,-0.0502352,0.188987
-0.089452,-0.0689711,0.23689
-0.0847485,-0.065974,0.216888
-0.08425,-0.065842,0.206507
-0.10597,-0.0810135,0.235654
-0.114308,-0.087039,0.239347
-0.118318,-0.0901025,0.235523
-0.122235,-0.0931211,0.231569
-0.126056,-0.0960923,0.227486
-0.124811,-0.0955325,0.216629
-0.122629,-0.094308,0.20525
-0.131686,-0.101005,0.208174
-0.140334,-0.107457,0.209929
-0.110728,-0.0870498,0.16308
-0.106718,-0.084461,0.153114
-0.115331,-0.0909137,0.155554
-0.110906,-0.0880188,0.145851
-0.112875,-0.0897236,0.142114
-0.108622,-0.0869269,0.133458
-0.103404,-0.0834076,0.124621
-0.104926,-0.0847845,0.12112
-0.10637,-0.086112,0.117566
-0.107734,-0.0873888,0.113963
-0.109018,-0.0886139,0.110312
-0.117585,-0.0952366,0.110623
-0.13291,-0.106921,0.113799
-0.163413,-0.129993,0.123052
-0.164793,-0.131446,0.117561
-0.158428,-0.127097,0.108993
-0.151841,-0.122549,0.10088
-0.145818,-0.118395,0.0934831
-0.153583,-0.12466,0.0905962
-0.162085,-0.131525,0.0874203
-0.154882,-0.126454,0.0801863
-0.163216,-0.13324,0.0764425
-0.155737,-0.127925,0.0696786
-0.171763,-0.140685,0.0663574
-0.171928,-0.141266,0.0605405
-0.171971,-0.141754,0.0547127
-0.156113,-0.129867,0.0484852
-0.011909,-0.0289144,0.225943
-0.0113951,-0.0282533,0.19662
-0.0159263,-0.0349599,0.214334
-0.0171353,-0.0368412,0.204555
-0.019423,-0.0403227,0.203451
-0.0231632,-0.0459731,0.210842
-0.0272958,-0.0522439,0.218928
-0.0316627,-0.0589067,0.226728
-0.0401439,-0.0717549,0.251894
-0.0430275,-0.076311,0.249678
-0.0502391,-0.0874017,0.264601
-0.0532632,-0.0922557,0.261892
-0.0587827,-0.100919,0.2679
-0.061814,-0.105865,0.264771
-0.0619937,-0.106499,0.25288
-0.0592639,-0.102687,0.233486
-0.0647949,-0.111526,0.238655
-0.06423,-0.111038,0.227031
-0.0698584,-0.120117,0.231647
-0.0722932,-0.124307,0.22795
-0.0712187,-0.123064,0.216418
-0.0801491,-0.13744,0.226967
-0.0824665,-0.14155,0.222743
-0.0847106,-0.145573,0.218397
-0.0796213,-0.138046,0.200629
-0.0815504,-0.141584,0.196408
-0.075427,-0.132342,0.178846
-0.0733887,-0.129552,0.169039
-0.0665823,-0.119104,0.152669
-0.0598389,-0.108681,0.137646
-0.0609255,-0.110814,0.134371
-0.06196,-0.112877,0.131035
-0.0629417,-0.114869,0.127639
-0.0638703,-0.116787,0.124186
-0.0647454,-0.118632,0.120678
-0.0655666,-0.1204,0.117119
-0.0616899,-0.114435,0.109057
-0.0576661,-0.108182,0.10142
-0.0582382,-0.109515,0.0981959
-0.0587625,-0.110778,0.0949352
-0.054912,-0.104731,0.0884972
-0.0504715,-0.0976471,0.0821461
-0.0507974,-0.0985436,0.079261
-0.0461886,-0.0910988,0.0736063
-0.041987,-0.0842898,0.0686843
